AY,Term,Dept,CourseID,Course,Instructor,A,A-,B,B-,B+,C,C-,C+,D,I,P,Grand Total
,,,WLG220,Spanish II,1114,8,9,,1,,,,,,,,18
,,,WLG230,Spanish III,1115,9,16,3,,4,,,,,,,32
,,,WLG240,Spanish IV,1116,15,27,6,1,4,,,,,,,53
,,,WLG250,Spanish V,1117,10,9,3,,1,,,,,,,23
,,,WLG310,German I,1118,12,8,3,,3,,,1,,,,27
,,,WLG320,German II,1119,9,10,8,1,2,,,,,,,30
,,,WLG330,German III,1120,8,12,1,,1,,,,,,,22
,,,WLG420,Japanese II,1121,6,10,2,2,2,1,,1,,,,24
,,,WLG430,Japanese III,1122,11,3,,1,,,,,,,,15
,,,WLG510,Russian I,1123,14,6,4,1,4,,,,,,,29
,,,WLG520,Russian II,1124,7,8,4,4,2,,,1,,,,26
,,,WLG530,Russian III,1125,3,10,,,3,,,,,,,16
,,,WLG610,Mandarin Chinese I,1126,9,4,7,1,1,,,,,,,22
,,,,,1127,15,17,6,2,2,1,,2,,,,45
,,,WLG620,Mandarin Chinese II,1128,8,16,6,2,3,,,,,,,35
,,,WLG630,Mandarin Chinese III,1129,6,10,8,,3,,,,,,2,29
,S2,English,ENG102,Literary Explorations II,1130,10,12,3,4,9,1,,3,,,,42
,,,,,1131,2,4,6,1,3,,,1,,,,17
,,,,,1132,9,9,8,6,7,,,1,,,,40
,,,,,1133,8,14,4,1,11,,1,1,,,,40
,,,,,1134,4,3,5,1,2,,,,,,,15
,,,,,1135,8,27,12,1,11,,,1,,,,60
,,,ENG212,Creative Writing Workshop,1136,8,20,5,2,12,,,,,,,47
,,,,,1137,7,7,4,,3,,,1,,,,22
,,,,,1138,12,24,5,,6,1,,,,,,48
,,,ENG242,Modern Theater,1139,1,8,18,1,6,,,,,,,34
,,,,,1140,8,26,5,,8,,,1,,,,48
,,,ENG301,Modern World Fiction,1141,10,19,11,1,4,,,,,,,45
,,,,,1142,4,7,8,,2,1,,,,,,22
,,,ENG351,Graphic Novels: Image and Text,1143,1,11,16,5,4,,,,,,1,38
,,,ENG365,Speculative Fiction Studies,1144,4,19,13,3,4,1,,1,,,,45
,,,,,1145,7,19,10,3,4,,,2,,,,45
,,,ENG512,Victorian Fiction,1146,3,5,9,2,3,,,,,,,22
,,FineArts,FAR100,Concert Band,1147,24,1,,,,,,,,,,25
,,,FAR110,Wind Ensemble,1148,37,1,,,1,,,,,,,39
,,,FAR120,String Orchestra,1149,17,,,,,,,,,,,17
,,,FAR130,Chamber Strings,1150,21,2,,,1,,,1,,,,25
,,,FAR200,Concert Choir,1151,11,1,1,1,,,,,,,,14
,,,FAR210,Chamber Choir,1152,16,,1,,,,,,,,,17
,,,FAR300,Music Appreciation,1153,20,1,3,2,2,,,1,,,,29
,,,FAR402,Art and Design,1154,28,,1,,1,,,,,,,30
,,,FAR435,Printmaking,1155,24,4,,1,1,,,,,,,30
,,HistorySS,HSS100,American Studies,1156,11,27,9,3,4,,,3,,,,57
,,,,,1157,8,12,8,6,6,4,,,1,,,45
,,,HSS202,The World in the Twentieth Century,1158,19,14,1,1,10,1,1,,,,,47
,,,,,1159,4,22,5,1,16,1,,1,,,,50
,,,,,1160,34,37,6,1,,1,3,1,1,,,84
,,,,,1161,6,4,3,1,1,,,,,,,15
,,,HSS307,Topics in Current Affairs,1162,20,18,4,,4,,,,,,,46
,,,HSS342,History of Biology,1163,3,18,7,4,21,,,1,,,,54
,,,HSS352,History of Technology and Culture,1164,6,14,3,,1,,,,,,,24
,,,HSS361,US Government and the Constitution,1165,6,6,6,3,2,,,,,,,23
,,MathCS,CS100,Computer Science Inquiry,1166,17,6,3,2,3,,,,,,,31
,,,,,1167,7,15,6,3,5,3,1,2,,,,42
,,,,,1168,25,7,3,,3,,,,,,,38
,,,CS105,Computational Thinking,1169,5,5,2,,1,,,,,,,13
,,,CS125,Web Technologies I,1170,14,4,2,1,1,,,,,,,22
,,,CS205,Object Oriented Programming,1171,6,7,5,1,1,1,,1,,,,22
,,,CS235,Web Technologies,1172,,2,5,2,2,,,,,,,11
,,,CS305,Advanced Programming,1173,16,3,2,1,,,,,,,,22
,,,,,1174,3,1,3,2,3,,,,,,1,13
,,,MAT122,Mathematical Investigations II,1175,3,2,2,3,1,2,,,,,,13
,,,MAT132,Mathematical Investigations III,1176,13,8,7,3,3,3,1,3,1,,,42
,,,,,1177,6,5,16,8,6,9,2,6,3,,,61
,,,MAT142,Mathematical Investigations IV,1178,6,3,6,5,4,3,1,2,1,,,31
,,,,,1179,8,2,6,2,6,2,1,3,1,,,31
,,,MAT222,AB Calculus II,1180,7,10,7,6,2,1,,1,,,,34
,,,MAT312,BC Calculus I,1181,1,4,7,6,6,5,1,3,1,,,34
,,,,,1182,1,11,9,6,6,3,,2,,,,38
,,,,,1183,3,2,6,3,2,1,1,2,1,,,21
,,,MAT322,BC Calculus II,1184,5,1,3,1,2,,,,,,,12
,,,,,1185,21,8,2,2,5,,,,,,,38
,,,MAT332,BC Calculus III,1186,2,7,11,5,5,3,1,3,,,,37
,,,,,1187,26,17,10,3,5,4,,1,,,,66
,,,MAT362,BC Calculus I/II,1188,8,9,1,,2,,,,,,,20
,,,MAT407,Modern Geometries,1189,16,4,1,,,,,,,,,21
,,,MAT412,Statistical Experimentation & Inference,1190,1,2,4,3,3,,1,,,,1,15
,,,MAT435,Discrete Mathematics,1191,10,2,14,1,6,5,2,2,,,,42
,,,,,1192,7,2,6,,1,1,3,1,,,,21
,,,MAT442,Multi-Variable Calculus,1193,12,15,5,6,2,,1,,,,1,42
,,,MAT452,Differential Equations,1194,3,4,8,1,4,,,2,,,,22
,,,MAT462,Introduction to Algebraic Structures I,1195,2,3,6,4,4,1,,1,,,,21
,,Science,SCI105,Scientific Inquiries - Chemistry,1196,9,11,5,4,1,,1,2,,,,33
